"MODE SHARE TARGET VALUES FOR CTPS STATEWIDE MODEL --  May, 2018",,,,,,,,,,,,
Purpose,PV,SOV,HOV2,HOV3p,Bike,Walk,WAT,DAT_B,DAT_CR,DAT_RT,DAT_LB,TOTALS
HBW,0_PK,0.2534,0.1091,0.0203,0.0950,0.1833,0.2681,0.0000,0.0469,0.0167,0.0072,1.0000
HBW,1_PK,0.7905,0.0800,0.0190,0.0293,0.0159,0.0458,0.0007,0.0158,0.0025,0.0005,1.0000
HBW,0_OP,0.2133,0.1666,0.0217,0.0716,0.2368,0.2775,0.0000,0.0068,0.0026,0.0031,1.0000
HBW,1_OP,0.8087,0.0979,0.0186,0.0206,0.0165,0.0314,0.0003,0.0031,0.0024,0.0005,1.0000
HBO,0_PK,0.1915,0.2281,0.0000,0.1309,0.2373,0.2089,0.0000,0.0017,0.0012,0.0004,1.0000
HBO,1_PK,0.4493,0.4410,0.0000,0.0191,0.0633,0.0265,0.0002,0.0001,0.0005,0.0000,1.0000
HBO,0_OP,0.1832,0.2359,0.0000,0.1429,0.3117,0.1221,0.0000,0.0010,0.0005,0.0027,1.0000
HBO,1_OP,0.4792,0.4300,0.0000,0.0111,0.0749,0.0030,0.0000,0.0013,0.0005,0.0000,1.0000
NHB,0_PK,0.1541,0.2610,0.0000,0.0376,0.2306,0.3143,0.0000,0.0012,0.0009,0.0003,1.0000
NHB,1_PK,0.5627,0.3200,0.0000,0.0077,0.1030,0.0053,0.0000,0.0008,0.0005,0.0000,1.0000
NHB,0_OP,0.1485,0.2984,0.0000,0.0314,0.4020,0.1178,0.0000,0.0005,0.0013,0.0001,1.0000
NHB,1_OP,0.5830,0.2900,0.0000,0.0078,0.0811,0.0367,0.0000,0.0008,0.0005,0.0001,1.0000
HBSc1,0_PK,0.0000,0.2234,0.0000,0.0844,0.5511,0.1411,0.0000,0.0000,0.0000,0.0000,1.0000
HBSc1,1_PK,0.0000,0.7913,0.0000,0.0170,0.1728,0.0174,0.0000,0.0000,0.0011,0.0004,1.0000
HBSc1,0_OP,0.0000,0.2000,0.0000,0.0280,0.6667,0.1053,0.0000,0.0000,0.0000,0.0000,1.0000
HBSc1,1_OP,0.0000,0.7006,0.0000,0.0208,0.2555,0.0209,0.0000,0.0011,0.0000,0.0011,1.0000
HBSc2,0_PK,0.0000,0.3300,0.0000,0.0533,0.4334,0.1833,0.0000,0.0000,0.0000,0.0000,1.0000
HBSc2,1_PK,0.0000,0.7554,0.0000,0.0162,0.1576,0.0628,0.0000,0.0040,0.0020,0.0020,1.0000
HBSc2,0_OP,0.0000,0.4251,0.0000,0.0300,0.3340,0.2109,0.0000,0.0000,0.0000,0.0000,1.0000
HBSc2,1_OP,0.0000,0.8233,0.0000,0.0158,0.1003,0.0510,0.0000,0.0038,0.0026,0.0032,1.0000
HBSc3,0_PK,0.0000,0.1630,0.0000,0.0580,0.6120,0.1670,0.0000,0.0000,0.0000,0.0000,1.0000
HBSc3,1_PK,0.5800,0.1970,0.0000,0.0180,0.0970,0.0930,0.0000,0.0050,0.0100,0.0000,1.0000
HBSc3,0_OP,0.0000,0.4230,0.0000,0.0580,0.3540,0.1650,0.0000,0.0000,0.0000,0.0000,1.0000
HBSc3,1_OP,0.6720,0.1820,0.0000,0.0150,0.0310,0.0850,0.0000,0.0050,0.0100,0.0000,1.0000
